gene,miRNA,interaction
UBE2I,hsa-miR-556-3p,0
IL29,hsa-miR-556-3p,1
UBE2I,hsa-miR-150-5p,0
MMP14,hsa-miR-150-5p,1
PRKCA,hsa-miR-150-5p,1
RBL1,hsa-miR-150-5p,1
C5ORF33,hsa-miR-150-5p,1
TRMT2B,hsa-miR-150-5p,1
MUC4,hsa-miR-150-5p,1
ZNF350,hsa-miR-150-5p,1
UBE2I,hsa-miR-145-3p,0
MMP16,hsa-miR-145-3p,1
MTDH,hsa-miR-145-3p,1
RSPO4,hsa-miR-145-3p,0
KCNJ13,hsa-miR-145-3p,0
SLC39A4,hsa-miR-145-3p,0
SHBG,hsa-miR-145-3p,1
WBP5,hsa-miR-145-3p,1
UBE2I,hsa-miR-1825,0
CNTD1,hsa-miR-1825,1
HHATL,hsa-miR-1825,0
HSPC159,hsa-miR-1825,1
UBE2I,hsa-miR-2116-3p,0
OS9,hsa-miR-2116-3p,0
FAM155B,hsa-miR-2116-3p,0
LY6G6C,hsa-miR-2116-3p,1
HISPPD1,hsa-miR-2116-3p,1
UBE2I,hsa-miR-6885-5p,0
XIAP,hsa-miR-6885-5p,0
AP3S2,hsa-miR-6885-5p,1
PLOD2,hsa-miR-6885-5p,1
UBE2I,hsa-miR-548aj-3p,0
UCP1,hsa-miR-502-3p,0
TAPBP,hsa-miR-502-3p,0
BAT4,hsa-miR-502-3p,1
RRP9,hsa-miR-502-3p,1
HTATIP2,hsa-miR-502-3p,1
C19ORF41,hsa-miR-502-3p,1
UCP1,hsa-miR-6826-3p,0
NARS,hsa-miR-6826-3p,1
PDGFB,hsa-miR-6826-3p,1
FLJ35776,hsa-miR-6826-3p,1
C15ORF43,hsa-miR-6826-3p,1
USP18,hsa-miR-4777-5p,0
PCNP,hsa-miR-4777-5p,0
USP18,hsa-miR-95-3p,0
ADRBK1,hsa-miR-95-3p,1
ATG9B,hsa-miR-95-3p,1
C16ORF5,hsa-miR-95-3p,1
USP18,hsa-miR-1283,0
COMMD2,hsa-miR-1283,1
RAB2B,hsa-miR-1283,1
LAMA1,hsa-miR-1283,1
VCL,hsa-miR-191-5p,0
EGR1,hsa-miR-191-5p,1
TMC7,hsa-miR-191-5p,1
SOX4,hsa-miR-191-5p,1
MDM4,hsa-miR-191-5p,1
VCL,hsa-miR-12117,0
DBN1,hsa-miR-12117,0
EXOC5,hsa-miR-12117,0
VCL,hsa-miR-548t-5p,0
FIGN,hsa-miR-548t-5p,0
LGALS3,hsa-miR-548t-5p,0
SLC10A7,hsa-miR-548t-5p,0
PCM1,hsa-miR-548t-5p,0
HRASLS5,hsa-miR-548t-5p,0
ERBB3,hsa-miR-548t-5p,0
CA2,hsa-miR-548t-5p,0
CLEC7A,hsa-miR-548t-5p,0
VPS45,hsa-miR-548t-5p,0
C14ORF28,hsa-miR-548t-5p,0
C3ORF58,hsa-miR-548t-5p,0
BOC,hsa-miR-548t-5p,0
SLU7,hsa-miR-548t-5p,1
PLAC8L1,hsa-miR-548t-5p,1
VCL,hsa-miR-7155-3p,0
CCT4,hsa-miR-7155-3p,1
VCL,hsa-miR-4306,0
PIGG,hsa-miR-4306,1
VDR,hsa-miR-652-3p,0
RPL17P7,hsa-miR-652-3p,0
IGSF3,hsa-miR-652-3p,0
VIM,hsa-miR-1245b-3p,0
TXNDC17,hsa-miR-1245b-3p,0
CLEC5A,hsa-miR-1245b-3p,0
TGIF2LX,hsa-miR-1245b-3p,0
GADD45G,hsa-miR-1245b-3p,0
ATP6V0A4,hsa-miR-1245b-3p,0
WDR90,hsa-miR-1245b-3p,0
NDUFA3,hsa-miR-1245b-3p,0
APOC4,hsa-miR-1245b-3p,0
AZI1,hsa-miR-1245b-3p,0
VIM,hsa-miR-187-3p,0
CD276,hsa-miR-187-3p,1
S100A4,hsa-miR-187-3p,1
BNIP3,hsa-miR-187-3p,1
CCDC121,hsa-miR-187-3p,0
ZNF670,hsa-miR-187-3p,0
CDGAP,hsa-miR-187-3p,0
IL17F,hsa-miR-187-3p,1
HIPK3,hsa-miR-187-3p,1
VIM,hsa-miR-551a,0
LOC642597,hsa-miR-551a,0
RTP4,hsa-miR-551a,0
OLFM2,hsa-miR-551a,0
MAOA,hsa-miR-551a,0
VIM,hsa-miR-1289,0
VIM,hsa-miR-1914-5p,0
CRIM1,hsa-miR-1914-5p,0
THG1L,hsa-miR-1914-5p,0
ACOX1,hsa-miR-1914-5p,1
NLRP9,hsa-miR-1914-5p,1
SLC22A7,hsa-miR-1914-5p,1
WEE1,hsa-miR-372-3p,0
NFIB,hsa-miR-372-3p,1
FAM119A,hsa-miR-372-3p,0
MMAB,hsa-miR-372-3p,1
ARMCX1,hsa-miR-372-3p,1
DUS2L,hsa-miR-372-3p,1
ODF1,hsa-miR-372-3p,1
WEE1,hsa-miR-27a-3p,1
LDLR,hsa-miR-27a-3p,1
CDC27,hsa-miR-27a-3p,1
EGFR,hsa-miR-27a-3p,1
GSK3B,hsa-miR-27a-3p,1
HIF1A,hsa-miR-27a-3p,1
LAMP2,hsa-miR-27a-3p,1
MAP2K4,hsa-miR-27a-3p,1
PRKAA2,hsa-miR-27a-3p,1
SMAD2,hsa-miR-27a-3p,1
SP4,hsa-miR-27a-3p,1
THRB,hsa-miR-27a-3p,1
WNK1,hsa-miR-27a-3p,1
ZBTB10,hsa-miR-27a-3p,1
GRB2,hsa-miR-27a-3p,1
RXRA,hsa-miR-27a-3p,1
SIGLEC1,hsa-miR-27a-3p,1
PIWIL2,hsa-miR-27a-3p,1
SP3,hsa-miR-27a-3p,1
TNS4,hsa-miR-27a-3p,1
CRYL1,hsa-miR-27a-3p,1
HIPK2,hsa-miR-27a-3p,1
SEMA7A,hsa-miR-27a-3p,1
GABRG1,hsa-miR-27a-3p,1
WEE1,hsa-miR-3611,1
CWF19L1,hsa-miR-3611,0
IPO9,hsa-miR-3611,1
XIAP,hsa-miR-449c-3p,0
WNT8A,hsa-miR-449c-3p,1
H2BFWT,hsa-miR-449c-3p,1
DCLRE1C,hsa-miR-449c-3p,1
XIAP,hsa-miR-874-5p,0
ING4,hsa-miR-874-5p,1
XIAP,hsa-miR-6793-5p,0
AFAP1L2,hsa-miR-6793-5p,0
SDC1,hsa-miR-6793-5p,0
SHOX,hsa-miR-6793-5p,0
MFSD4,hsa-miR-6793-5p,0
THRAP3,hsa-miR-6793-5p,0
LAP3,hsa-miR-6793-5p,0
XPA,hsa-miR-210-3p,0
FGFRL1,hsa-miR-210-3p,1
FOXN3,hsa-miR-210-3p,1
LDHB,hsa-miR-210-3p,1
SH3BGRL,hsa-miR-210-3p,1
STMN1,hsa-miR-210-3p,1
IGFBP3,hsa-miR-210-3p,1
TP53I11,hsa-miR-210-3p,1
HSD17B1,hsa-miR-210-3p,1
ISCU,hsa-miR-210-3p,1
ANAPC1,hsa-miR-210-3p,1
XPA,hsa-miR-373-3p,0
NFIB,hsa-miR-373-3p,1
RAD52,hsa-miR-373-3p,1
C22ORF13,hsa-miR-373-3p,1
THAP9,hsa-miR-373-3p,1
XPA,hsa-miR-181b-3p,0
PLGLB1,hsa-miR-181b-3p,0
ZDBF2,hsa-miR-181b-3p,1
NFASC,hsa-miR-181b-3p,1
XPA,hsa-miR-4311,0
XPA,hsa-miR-548c-3p,0
P4HB,hsa-miR-548c-3p,0
NCRNA00174,hsa-miR-548c-3p,0
XPA,hsa-miR-6873-5p,0
INPPL1,hsa-miR-6873-5p,0
XPA,hsa-miR-3187-3p,0
NR1I2,hsa-miR-3187-3p,0
TPSD1,hsa-miR-3187-3p,1
RPL27A,hsa-miR-3187-3p,1
XPA,hsa-miR-3667-5p,0
RAMP2,hsa-miR-3667-5p,0
CMA1,hsa-miR-3667-5p,1
ELK4,hsa-miR-3667-5p,1
XPA,hsa-miR-3659,0
FAM22A,hsa-miR-3659,0
XPA,hsa-miR-3622b-3p,0
GJD4,hsa-miR-3622b-3p,0
EIF4H,hsa-miR-3622b-3p,1
XPA,hsa-miR-548p,0
PLP2,hsa-miR-548p,1
SPATA2L,hsa-miR-548p,1
NR2F6,hsa-miR-548p,1
NUDT3,hsa-miR-548p,1
XPA,hsa-miR-5571-5p,0
U2AF2,hsa-miR-5571-5p,0
ABCA2,hsa-miR-5571-5p,1
ZNF446,hsa-miR-5571-5p,1
XPA,hsa-miR-3171,0
WBP2NL,hsa-miR-3171,0
TRIP10,hsa-miR-3171,0
PANX3,hsa-miR-3171,1
ARF6,hsa-miR-3171,1
ZNF44,hsa-miR-3171,1
XPA,hsa-miR-668-3p,0
ERO1LB,hsa-miR-668-3p,1
XPA,hsa-miR-4768-3p,0
CYP19A1,hsa-miR-4768-3p,1
GPR84,hsa-miR-4768-3p,1
XPA,hsa-miR-6506-5p,0
C12ORF52,hsa-miR-6506-5p,0
XPA,hsa-miR-6758-3p,0
ROR1,hsa-miR-6758-3p,0
YY1,hsa-miR-6812-5p,0
GPR139,hsa-miR-6812-5p,0
A2LD1,hsa-miR-6812-5p,0
ZNF684,hsa-miR-6812-5p,1
THADA,hsa-miR-6812-5p,1
YY1,hsa-miR-151b,0
MYCL1,hsa-miR-151b,0
YY1,hsa-miR-514b-5p,0
SLC27A5,hsa-miR-514b-5p,0
SOX12,hsa-miR-514b-5p,1
GRM7,hsa-miR-514b-5p,1
YY1,hsa-miR-302e,0
UNC5A,hsa-miR-302e,0
CAB39L,hsa-miR-302e,1
SFTPA1B,hsa-miR-302e,1
ZEB1,hsa-miR-5787,1
ZSWIM2,hsa-miR-5787,1
KCNG4,hsa-miR-5787,1
ZC3H12D,hsa-miR-5787,1
ZNF763,hsa-miR-151a-3p,0
WIPF3,hsa-miR-151a-3p,1
CFHR4,hsa-miR-151a-3p,1
MYBL1,hsa-miR-151a-3p,1
ZNF763,hsa-miR-4736,0
AFAP1L2,hsa-miR-4736,0
APLNR,hsa-miR-4736,0
DDX31,hsa-miR-4736,0
FCHO2,hsa-miR-4736,0
PDE8B,hsa-miR-4736,0
CISD2,hsa-miR-4736,0
RASAL1,hsa-miR-4736,1
ZNF763,hsa-miR-452-5p,0
CAPN1,hsa-miR-452-5p,0
KIAA0427,hsa-miR-452-5p,1
ZNF763,hsa-miR-1910-5p,0
MIER2,hsa-miR-1910-5p,0
TAPBP,hsa-miR-1910-5p,0
SFTA2,hsa-miR-1910-5p,1
ZNF143,hsa-miR-1910-5p,1
ZNF763,hsa-miR-4478,0
SCNN1D,hsa-miR-4478,0
MSX1,hsa-miR-4478,1
ZNF763,hsa-miR-6780a-5p,0
BCAT2,hsa-miR-6780a-5p,1
ZNF763,hsa-miR-3139,0
WDR18,hsa-miR-3139,0
MPP5,hsa-miR-3139,1
INTS12,hsa-miR-3139,1
ITGB8,hsa-miR-19b-1-5p,0
KDR,hsa-miR-19b-1-5p,0
EIF3J,hsa-miR-19b-1-5p,0
SP6,hsa-miR-19b-1-5p,0
CEACAM4,hsa-miR-19b-1-5p,1
ZBTB39,hsa-miR-19b-1-5p,1
ITGB8,hsa-miR-6871-3p,0
ZNF266,hsa-miR-6871-3p,0
PTPRR,hsa-miR-6871-3p,1
CRIM1,hsa-miR-6840-5p,0
LRWD1,hsa-miR-6840-5p,0
GAA,hsa-miR-6840-5p,1
MRPL21,hsa-miR-6840-5p,1
CRIM1,hsa-miR-199b-5p,0
LRRC32,hsa-miR-199b-5p,0
C9ORF131,hsa-miR-199b-5p,0
ABCA2,hsa-miR-199b-5p,1
ZNF541,hsa-miR-199b-5p,1
CRIM1,hsa-miR-1178-5p,0
NR1I2,hsa-miR-1178-5p,0
PLGLB2,hsa-miR-1178-5p,0
EGFL7,hsa-miR-3148,0
EGFL7,hsa-miR-24-1-5p,0
CAPN1,hsa-miR-24-1-5p,0
SEMA6C,hsa-miR-24-1-5p,0
DMRTB1,hsa-miR-24-1-5p,0
ITGAV,hsa-miR-24-1-5p,1
ANKRD49,hsa-miR-24-1-5p,1
TSPY3,hsa-miR-24-1-5p,1
KLF4,hsa-miR-6727-5p,0
CTNS,hsa-miR-6727-5p,1
THBS3,hsa-miR-6727-5p,1
NIPSNAP1,hsa-miR-6727-5p,1
ARRDC1,hsa-miR-6727-5p,1
KLF4,hsa-miR-1224-3p,0
CAPN1,hsa-miR-1224-3p,0
TMEM198,hsa-miR-1224-3p,1
KLF4,hsa-miR-103a-3p,1
ID2,hsa-miR-103a-3p,1
MYCN,hsa-miR-103a-3p,1
TIMP3,hsa-miR-103a-3p,1
TSSK6,hsa-miR-103a-3p,0
RAD51,hsa-miR-103a-3p,1
AKT1S1,hsa-miR-103a-3p,1
MICALL1,hsa-miR-103a-3p,1
CYP8B1,hsa-miR-422a,0
ETS2,hsa-miR-422a,1
UBXN2A,hsa-miR-422a,0
PSMB10,hsa-miR-422a,0
C6ORF203,hsa-miR-422a,0
CYP8B1,hsa-miR-4707-5p,0
SRD5A2L2,hsa-miR-4707-5p,0
SH2D4B,hsa-miR-4707-5p,0
ZNF415,hsa-miR-4707-5p,0
SCG5,hsa-miR-4707-5p,0
UBXN2B,hsa-miR-4707-5p,1
CYP8B1,hsa-miR-6737-5p,0
ARNT,hsa-miR-6737-5p,0
ZNF550,hsa-miR-6737-5p,0
TRPA1,hsa-miR-6737-5p,1
UBE2K,hsa-miR-6737-5p,1
IL17B,hsa-miR-6737-5p,1
CYP8B1,hsa-miR-4449,0
RFTN2,hsa-miR-4449,1
ZNF451,hsa-miR-4449,1
SLC5A10,hsa-miR-4449,1
IGF1R,hsa-miR-15b-3p,1
CCNB2,hsa-miR-15b-3p,1
IGF1R,hsa-miR-223-5p,1
EGF,hsa-miR-223-5p,1
BLM,hsa-miR-223-5p,1
TIMM8A,hsa-miR-223-5p,1
FBXO8,hsa-miR-223-5p,1
STRADB,hsa-miR-6776-5p,0
C2ORF56,hsa-miR-6776-5p,0
TMEM136,hsa-miR-6776-5p,0
HK3,hsa-miR-6776-5p,0
AHCYL2,hsa-miR-6776-5p,0
TBKBP1,hsa-miR-6776-5p,0
STRADB,hsa-miR-8085,0
TMEM120B,hsa-miR-8085,0
GPR124,hsa-miR-8085,0
CTTNBP2,hsa-miR-8085,1
REG1A,hsa-miR-8085,1
DPH3,hsa-miR-8085,1
APAF1,hsa-miR-6850-5p,0
C3AR1,hsa-miR-6850-5p,1
APAF1,hsa-miR-6735-3p,0
PLCB2,hsa-miR-6735-3p,0
HCRTR2,hsa-miR-6735-3p,0
CCL20,hsa-miR-6735-3p,1
IL32,hsa-miR-6735-3p,1
CLK2,hsa-miR-6735-3p,1
APAF1,hsa-miR-922,0
VAMP1,hsa-miR-922,0
RFWD3,hsa-miR-922,0
SLC25A16,hsa-miR-922,0
C9ORF30,hsa-miR-922,1
APAF1,hsa-miR-1251-5p,0
TLR9,hsa-miR-1251-5p,0
SILV,hsa-miR-1251-5p,0
SLC12A3,hsa-miR-1251-5p,0
PERLD1,hsa-miR-1251-5p,0
MEIG1,hsa-miR-1251-5p,1
INPPL1,hsa-miR-3059-3p,0
FAIM,hsa-miR-3059-3p,0
RIN3,hsa-miR-3059-3p,0
SPTA1,hsa-miR-3059-3p,1
PMM2,hsa-miR-3059-3p,1
EYS,hsa-miR-3059-3p,1
HSD17B1,hsa-miR-3059-3p,1
INPPL1,hsa-miR-142-3p,0
IL1A,hsa-miR-142-3p,1
PTPN23,hsa-miR-142-3p,1
KIF15,hsa-miR-142-3p,0
HOXA7,hsa-miR-142-3p,1
PLEKHM1,hsa-miR-142-3p,1
HSPA1B,hsa-miR-142-3p,1
INPPL1,hsa-miR-331-3p,0
TTF2,hsa-miR-331-3p,1
GTF2H5,hsa-miR-331-3p,1
INPPL1,hsa-miR-4790-3p,0
ZNF93,hsa-miR-4790-3p,0
PYGL,hsa-miR-4790-3p,0
DPF2,hsa-miR-4790-3p,1
C17ORF74,hsa-miR-4790-3p,0
IL1RAPL1,hsa-miR-4790-3p,0
NR1I2,hsa-miR-551b-3p,0
ARFIP2,hsa-miR-551b-3p,0
HIP1,hsa-miR-551b-3p,0
FOXK2,hsa-miR-551b-3p,0
KIAA1128,hsa-miR-551b-3p,1
NR1I2,hsa-miR-5572,0
RBM44,hsa-miR-5572,0
RPS21,hsa-miR-5572,0
NUP93,hsa-miR-4641,0
SLC12A3,hsa-miR-4641,0
MAGEC2,hsa-miR-4641,0
NUP93,hsa-miR-4725-5p,0
POTEB,hsa-miR-4725-5p,0
PIWIL4,hsa-miR-4725-5p,1
NUP93,hsa-miR-6882-5p,0
LRRC32,hsa-miR-6882-5p,0
ELAVL1,hsa-miR-6882-5p,1
NUP93,hsa-miR-744-5p,0
NKD1,hsa-miR-744-5p,1
CWF19L1,hsa-miR-744-5p,0
CCNL1,hsa-miR-744-5p,0
NUP93,hsa-miR-3188,0
LMX1A,hsa-miR-3188,0
PAPD4,hsa-miR-3188,1
ILK,hsa-miR-3188,1
NUP93,hsa-miR-6888-3p,0
SMEK2,hsa-miR-6888-3p,1
DNAH1,hsa-miR-6888-3p,1
ATAD5,hsa-miR-6888-3p,1
NUP93,hsa-miR-6879-3p,0
NUP93,hsa-miR-4804-5p,0
SLC35D2,hsa-miR-4804-5p,0
NUP93,hsa-miR-653-3p,0
PSTK,hsa-miR-653-3p,0
CAPN1,hsa-miR-653-3p,0
SPCS3,hsa-miR-653-3p,0
PLCD1,hsa-miR-653-3p,1
ELAVL3,hsa-miR-653-3p,1
NUP93,hsa-miR-7111-5p,0
C5ORF25,hsa-miR-7111-5p,1
SNX9,hsa-miR-7111-5p,1
BEST4,hsa-miR-7111-5p,1
NUP93,hsa-miR-548ac,0
COMMD9,hsa-miR-548ac,1
KDR,hsa-miR-148a-5p,0
AKT2,hsa-miR-148a-5p,1
HOXB3,hsa-miR-148a-5p,1
TC2N,hsa-miR-148a-5p,1
TUT1,hsa-miR-148a-5p,1
KDR,hsa-miR-4710,0
PDGFRA,hsa-miR-4710,0
RPL17P7,hsa-miR-4710,0
GTPBP1,hsa-miR-4710,0
KIAA1853,hsa-miR-4710,1
KDR,hsa-miR-298,0
IPO9,hsa-miR-298,1
PAPPA2,hsa-miR-298,0
THAP7,hsa-miR-298,0
POU5F1B,hsa-miR-298,0
ZNF267,hsa-miR-298,0
SETD2,hsa-miR-298,0
FAM49B,hsa-miR-298,0
ZIC4,hsa-miR-298,0
KDR,hsa-miR-186-3p,0
EXOC5,hsa-miR-186-3p,0
PANX2,hsa-miR-186-3p,1
ELOVL6,hsa-miR-186-3p,1
KDR,hsa-miR-4724-5p,0
ARPP-21,hsa-miR-4724-5p,0
FGD5,hsa-miR-4724-5p,1
NOVA1,hsa-miR-99b-3p,0
OSBPL10,hsa-miR-99b-3p,0
CCDC52,hsa-miR-99b-3p,0
SAP30BP,hsa-miR-99b-3p,0
IFT57,hsa-miR-99b-3p,0
CFHR3,hsa-miR-99b-3p,0
NR4A3,hsa-miR-297,0
EDC3,hsa-miR-297,1
NR4A3,hsa-miR-3202,0
SIX3,hsa-miR-3202,0
ZNF266,hsa-miR-3202,0
PTCD2,hsa-miR-3202,1
C9ORF37,hsa-miR-3202,1
NR4A3,hsa-miR-4439,0
ING5,hsa-miR-4439,0
ILKAP,hsa-miR-4439,0
TNFAIP8L3,hsa-miR-4439,0
CCDC24,hsa-miR-4439,1
NR4A3,hsa-miR-6733-5p,0
BEAN,hsa-miR-6733-5p,1
SIAH3,hsa-miR-6733-5p,1
NR4A3,hsa-miR-513a-3p,0
GSTP1,hsa-miR-513a-3p,1
ANKRD54,hsa-miR-513a-3p,0
ZNF222,hsa-miR-513a-3p,1
NR4A3,hsa-miR-371b-3p,0
PF4,hsa-miR-371b-3p,1
NEUROG2,hsa-miR-371b-3p,1
ZBP1,hsa-miR-371b-3p,1
NR4A3,hsa-miR-4794,0
BIRC6,hsa-miR-4794,0
NRG4,hsa-miR-4794,1
NXPH3,hsa-miR-4794,1
NR4A3,hsa-miR-1471,0
SLC16A7,hsa-miR-1471,0
C11ORF74,hsa-miR-1471,1
NR4A3,hsa-miR-4530,0
KIAA1522,hsa-miR-4530,1
LCE4A,hsa-miR-4530,1
POU2F2,hsa-miR-381-5p,0
C15ORF56,hsa-miR-381-5p,0
CORIN,hsa-miR-381-5p,0
CNPY1,hsa-miR-381-5p,0
FAM86A,hsa-miR-381-5p,0
EGR3,hsa-miR-381-5p,0
CAPN13,hsa-miR-381-5p,0
SYT11,hsa-miR-381-5p,1
POU2F2,hsa-miR-3679-5p,0
HHIPL1,hsa-miR-3679-5p,0
LBH,hsa-miR-3679-5p,0
SAA2,hsa-miR-3679-5p,1
AADACL2,hsa-miR-3679-5p,1
POU2F2,hsa-miR-4322,0
CBX7,hsa-miR-4322,1
PIK3R1,hsa-miR-4322,1
C13ORF33,hsa-miR-4322,0
FBXO42,hsa-miR-4322,1
POU2F2,hsa-miR-214-5p,0
ITCH,hsa-miR-214-5p,1
POU2F2,hsa-miR-373-5p,0
SULT1B1,hsa-miR-373-5p,1
TSPAN13,hsa-miR-373-5p,1
FAM12A,hsa-miR-373-5p,1
POU2F2,hsa-miR-890,0
SH2D5,hsa-miR-890,0
POTEB,hsa-miR-890,0
SRRM2,hsa-miR-890,0
ERAF,hsa-miR-890,1
FAT1,hsa-miR-890,1
DSG1,hsa-miR-890,1
STK31,hsa-miR-890,1
RBP7,hsa-miR-890,1
FASTK,hsa-miR-628-3p,0
FASTK,hsa-miR-3117-3p,0
NUP43,hsa-miR-3117-3p,0
ZNF286A,hsa-miR-3117-3p,0
GON4L,hsa-miR-3117-3p,0
TUFT1,hsa-miR-3117-3p,0
CABLES1,hsa-miR-3117-3p,0
PION,hsa-miR-3117-3p,0
CLSTN2,hsa-miR-3117-3p,1
FASTK,hsa-miR-33b-3p,0
RGAG4,hsa-miR-33b-3p,0
KIAA1618,hsa-miR-33b-3p,1
FASTK,hsa-miR-4692,0
COTL1,hsa-miR-4692,1
AQP2,hsa-miR-4692,1
FASTK,hsa-miR-1183,0
CMPK1,hsa-miR-1183,0
ARL3,hsa-miR-1183,0
EIF5A2,hsa-miR-1183,1
FLJ11506,hsa-miR-1183,1
MPP2,hsa-miR-1183,1
FASTK,hsa-miR-642b-5p,0
PTPRN2,hsa-miR-642b-5p,1
FASTK,hsa-miR-6831-3p,0
IL1RL1,hsa-miR-6831-3p,1
RIOK1,hsa-miR-6831-3p,1
WDR41,hsa-miR-6831-3p,1
FASTK,hsa-miR-7843-5p,0
SIGMAR1,hsa-miR-1268b,0
MOBKL2A,hsa-miR-1268b,0
LMNB2,hsa-miR-1268b,0
GANAB,hsa-miR-1268b,0
MTMR3,hsa-miR-1268b,0
SIGMAR1,hsa-miR-6794-5p,0
NOS1,hsa-miR-6794-5p,0
L1TD1,hsa-miR-6794-5p,1
HMGA2,hsa-miR-370-3p,0
FOXM1,hsa-miR-370-3p,1
DNAJC2,hsa-miR-370-3p,0
CMPK1,hsa-miR-370-3p,0
RSPO3,hsa-miR-370-3p,1
C12ORF54,hsa-miR-370-3p,1
NBEA,hsa-miR-370-3p,1
HMGA2,hsa-miR-33a-5p,1
TWIST1,hsa-miR-33a-5p,1
OSBPL6,hsa-miR-33a-5p,1
TMEM120B,hsa-miR-33a-5p,0
HOXA7,hsa-miR-33a-5p,1
EGR3,hsa-miR-33a-5p,0
AK7,hsa-miR-33a-5p,1
HMGA2,hsa-miR-495-3p,1
TOM1,hsa-miR-455-3p,0
DGKG,hsa-miR-455-3p,0
SFXN4,hsa-miR-455-3p,0
TOM1,hsa-miR-6817-5p,0
LEF1,hsa-miR-6817-5p,1
XAF1,hsa-miR-6817-5p,0
FRAP1,hsa-miR-6817-5p,0
HDAC3,hsa-miR-6817-5p,0
ADAL,hsa-miR-6817-5p,0
GALNAC4S-6ST,hsa-miR-6817-5p,0
MTTP,hsa-miR-6817-5p,1
RABGAP1L,hsa-miR-6817-5p,1
PCDHB2,hsa-miR-6817-5p,1
TOM1,hsa-miR-1470,0
CHTF18,hsa-miR-1470,0
C11ORF60,hsa-miR-1470,1
TOM1,hsa-miR-3144-5p,0
TMEM132C,hsa-miR-3144-5p,0
TOM1,hsa-miR-11400,0
TMEM190,hsa-miR-11400,0
GUCA2B,hsa-miR-11400,1
NCOA6,hsa-miR-4323,0
NMNAT1,hsa-miR-4323,1
NCOA6,hsa-miR-300,0
C1ORF189,hsa-miR-300,0
LBR,hsa-miR-300,1
BRD7,hsa-miR-300,1
NCOA6,hsa-miR-371b-5p,0
MIER2,hsa-miR-371b-5p,0
KRT79,hsa-miR-371b-5p,1
NCOA6,hsa-miR-5695,0
LANCL1,hsa-miR-5695,1
IGSF21,hsa-miR-5695,1
NCOA6,hsa-miR-4329,0
AARSD1,hsa-miR-4329,1
NLGN1,hsa-miR-4329,1
CASP9,hsa-miR-3688-5p,0
FAM90A1,hsa-miR-3688-5p,1
CASP9,hsa-miR-6788-3p,0
HDAC8,hsa-miR-6788-3p,0
DEFB107B,hsa-miR-6788-3p,0
ELL,hsa-miR-6788-3p,1
MDM2,hsa-miR-323b-3p,0
PSTK,hsa-miR-323b-3p,0
TCP11,hsa-miR-323b-3p,1
MDM2,hsa-miR-944,0
HDAC8,hsa-miR-3144-3p,0
PNPLA7,hsa-miR-3144-3p,0
NAT2,hsa-miR-3144-3p,1
HDAC8,hsa-miR-550a-5p,0
HDAC8,hsa-miR-564,0
BTBD9,hsa-miR-564,0
ANKS3,hsa-miR-564,1
THUMPD2,hsa-miR-564,1
HDAC8,hsa-miR-6738-3p,0
NOTCH2,hsa-miR-6738-3p,0
VAMP1,hsa-miR-6738-3p,0
GRB2,hsa-miR-6738-3p,0
CLK4,hsa-miR-6738-3p,1
GPRC5C,hsa-miR-6738-3p,1
HDAC8,hsa-miR-1281,0
HDAC8,hsa-miR-2392,0
MIER2,hsa-miR-2392,0
GTPBP8,hsa-miR-2392,0
WNT4,hsa-miR-2392,0
HDAC8,hsa-miR-3164,0
FAM157A,hsa-miR-3164,0
LRRC3,hsa-miR-3164,1
NOTCH2,hsa-miR-367-5p,0
MUPCDH,hsa-miR-367-5p,0
AKAP1,hsa-miR-367-5p,0
DCP1B,hsa-miR-367-5p,0
NOTCH2,hsa-miR-4685-5p,0
POU5F1B,hsa-miR-4685-5p,0
CHRNA4,hsa-miR-4685-5p,0
MTHFD2,hsa-miR-4685-5p,0
SEC14L2,hsa-miR-4685-5p,0
CENPT,hsa-miR-4685-5p,0
PLXNB2,hsa-miR-4685-5p,1
CCR1,hsa-miR-602,0
PRDM9,hsa-miR-602,1
EIF3J,hsa-miR-362-5p,0
HRH4,hsa-miR-362-5p,0
TCEAL7,hsa-miR-362-5p,1
EIF3J,hsa-miR-5589-3p,0
BIRC6,hsa-miR-5589-3p,0
RUFY1,hsa-miR-5589-3p,0
C4ORF40,hsa-miR-5589-3p,1
EIF3J,hsa-miR-4277,0
SP5,hsa-miR-4277,1
TARSL2,hsa-miR-4277,1
PACS1,hsa-miR-4277,1
EIF3J,hsa-miR-3182,0
CADM3,hsa-miR-3182,0
UROS,hsa-miR-3182,1
BIRC6,hsa-miR-4757-3p,0
DNAJC2,hsa-miR-4757-3p,0
BIRC6,hsa-miR-3135b,0
ZNF524,hsa-miR-3135b,1
MMP10,hsa-miR-3135b,1
BIRC6,hsa-miR-3152-3p,0
CD160,hsa-miR-3152-3p,0
AOC3,hsa-miR-3152-3p,0
CYP27A1,hsa-miR-3152-3p,0
TRIP4,hsa-miR-3152-3p,0
PPM1K,hsa-miR-3152-3p,0
TBL1X,hsa-miR-3152-3p,0
NOX4,hsa-miR-3152-3p,1
ALKBH2,hsa-miR-3152-3p,1
DHX30,hsa-miR-3152-3p,1
CT45A4,hsa-miR-3152-3p,1
CYTL1,hsa-miR-3152-3p,1
ZNF83,hsa-miR-3678-5p,1
CLEC5A,hsa-miR-3678-5p,0
ZNF83,hsa-miR-1271-5p,1
GPC3,hsa-miR-1271-5p,1
